trial_id,date,status,implementation,deployment_tier,protocol,migration_trigger,path_validation_observed,tuple_change_observed,application_task,application_success,manual_intervention_required,failure_layer,artifact_dir,notes
quic-go-ec2-direct-origin-001,2026-06-23,PASS,quic-go,EC2 direct origin,QUIC transport stream,"client socket A -> socket B; AddPath -> Probe -> Switch",true,true,"before/after 1MiB stream payload",true,false,none,harness/results/aws-direct-origin-20260623T124641Z,"server observed client source port change 64273 -> 58085; qlog and pcap collected; AWS resources cleaned up"
quiche-local-path-event-timeline-001,2026-06-23,PASS,Cloudflare quiche,local direct origin,HTTP/3 over QUIC,"sample client --perform-migration; source port 53238 -> 61867",true,true,"GET / response",true,false,none,experiments/quiche-local/artifacts,"server observed new path, validation, and migration; qlog PATH_CHALLENGE/PATH_RESPONSE evidence; timeline in data/quiche-path-event-timeline.csv"
haproxy-local-h3-negative-control-001,2026-06-23,PASS_NEGATIVE_CONTROL,HAProxy 3.4.0,local proxy,HTTP/3 frontend to HTTP/1.1 origin,"quiche-client --perform-migration; source port 65415 -> 51818",false,true,"GET / via HAProxy during migration attempt",false,false,proxy-path-validation,experiments/haproxy-http3-negative-control,"curl and quiche no-migration H3 baselines passed; migration attempt sent 3 PATH_CHALLENGE frames and received 0 PATH_RESPONSE frames; new path validation_state=Failed"
aws-nlb-quic-feasibility-001,2026-06-23,PASS_FEASIBILITY,AWS NLB + s2n-quic,AWS control plane + local provider proof,QUIC/TCP_QUIC,"no packet migration; target group create/delete and CID provider proof",false,false,"create QUIC/TCP_QUIC target groups; compile s2n-quic AWS Server ID CID provider",true,false,none,experiments/aws-nlb-quic-feasibility-20260623,"ap-northeast-2 accepted QUIC and TCP_QUIC target groups; resources deleted; s2n-quic provider proof passed 2 tests"
s2n-quic-nlb-local-data-plane-001,2026-06-24,PASS,s2n-quic,AWS NLB local prerequisite proof,QUIC transport stream,"no network path migration; local CID-aware routing simulation plus s2n-quic echo",false,false,"local QUIC echo with AWS NLB QUIC-LB plaintext CID provider installed",true,false,none,experiments/s2n-quic-nlb-cid-provider/results/local-data-plane-20260623T161659Z,"generated target A/B CIDs use 0x00 + 8-byte Server ID + 7-byte nonce; simulated router selects target-a/target-b and rejects wrong CID; local echo_matches=true"
aws-nlb-quic-data-plane-001,2026-06-24,PASS,quic-go + AWS NLB,AWS NLB QUIC passthrough,QUIC transport stream,"client socket A -> socket B through NLB; AddPath -> Probe -> Switch",true,true,"before/after 64KiB stream payload",true,false,none,harness/results/aws-nlb-quic-dp-20260623T160418Z,"QUIC listener and two EC2 targets; QUIC-LB plaintext CID format 0x00 + 8-byte Server ID + 7-byte nonce; target-b received before and after streams; client source port changed 55957 -> 59355; AWS resources cleaned up"
aws-nlb-quic-malformed-cid-001,2026-06-24,PASS_NEGATIVE_CONTROL,quic-go + AWS NLB,AWS NLB QUIC passthrough,QUIC transport stream,"malformed server CID layout: 8-byte Server ID + 8-byte nonce",false,false,"before 64KiB stream payload",false,false,nlb-cid-format,harness/results/aws-nlb-quic-dp-20260623T155524Z,"client dial_success and server target-b accepted connection, but client sent 51 STREAM frames while server received 0; CloudWatch QUIC_Unknown_Server_ID_Packet_Drop_Count showed 59+2 drops"
aws-nlb-quic-wrong-server-id-001,2026-06-24,PASS_NEGATIVE_CONTROL,quic-go + AWS NLB,AWS NLB QUIC passthrough,QUIC transport handshake,"registered QuicServerId differs from server-generated CID Server ID",false,false,"dial before application payload",false,false,nlb-cid-server-id-mismatch,harness/results/aws-nlb-quic-negative-cid-20260623T162423Z,"target health was 2/2 healthy; client sent Initial CRYPTO packets and received 0 packets; server accepted no connection; AWS resources cleaned up"
aws-nlb-tcp-quic-443-001,2026-06-24,PASS,quic-go + AWS NLB,AWS NLB TCP_QUIC passthrough,QUIC transport stream,"client socket A -> socket B through TCP_QUIC :443 NLB; AddPath -> Probe -> Switch",true,true,"before/after 64KiB stream payload",true,false,none,harness/results/aws-nlb-tcp-quic-443-20260623T164138Z,"TCP_QUIC listener and target group on port 443; QUIC-LB plaintext CID format; target-b received before and after streams; client source port changed 57897 -> 56632; AWS resources cleaned up"
quic-go-local-h3-workload-001,2026-06-24,PASS,quic-go + HTTP/3,local direct origin,HTTP/3 over QUIC,"HTTP/3 POST upload before; AddPath -> Probe -> Switch; HTTP/3 GET download after",true,true,"before POST /upload 64KiB; after GET /download 64KiB",true,false,none,experiments/quic-go-min-repro/artifacts/local-h3-workload-check,"client source port changed 63819 -> 63361; server observed before remote 127.0.0.1:63819 and after remote 127.0.0.1:63361; h3 ALPN and qlog path validation observed; this is post-migration request continuity, not mid-flight task survival"
